# gamma_1 = 1.00; gamma_2 = 1.50; gamma_3 = 1.25
# gamma_index type_of_data data
1 nCo 1
1 Gam 1.0
1 Exp 0.195318914,0.8192007022,2.8591748945,9.5007270353,35.6998853048,197.7932786582
1 Coe -0.2707044136,-0.3055203356,-0.1829669465,-0.10986129,-0.0680973833,-0.0422380793
2 nCo 1
2 Gam 1.5000000000000004
2 Exp 0.3590317941,1.328886523,4.3826930972,14.2749402043,53.2829144937,294.6280562231
2 Coe -0.1351316829,-0.1989971698,-0.1380049358,-0.0876635533,-0.0554079233,-0.0345704419
3 nCo 1
3 Gam 1.25
3 Exp 0.2725423113,1.0645789465,3.6008771055,11.8363146635,44.3170394999,245.2764889698
3 Coe -0.1855043373,-0.2425734997,-0.1572765647,-0.0972965075,-0.0609294392,-0.0379086984
